sim,mcmc_iter,running_tau_gibbs,running_tau_mcmc,tau_diff_mcmc_minus_gibbs,total_distance_gibbs,total_distance_mcmc,total_distance_diff_mcmc_minus_gibbs
1,100,0.8827218863826916,0.7886720569487153,-0.09404982943397622,53.370244832529444,51.83685447322682,-1.5333903593026221
1,200,0.8784392902312905,0.8210172299016457,-0.05742206032964481,52.42986519153305,56.2037848574935,3.773919665960456
1,300,0.8843790856827115,0.86588126179229,-0.01849782389042154,62.6492962879181,59.325081194425834,-3.3242150934922634
1,400,0.8810454499806114,0.8544904603278514,-0.02655498965276004,58.2553064622147,54.94355404884125,-3.3117524133734477
1,500,0.8820325464801017,0.8390850967731625,-0.0429474497069392,51.929822869728724,56.20917149565834,4.2793486259296145
1,600,0.878686724484065,0.8450340356635958,-0.033652688820469234,62.37216207830892,59.09545532750452,-3.2767067508044008
1,700,0.8773232269521524,0.8464895309641268,-0.030833695988025545,57.71580727023248,60.177383981625965,2.4615767113934837
1,800,0.8778992545531648,0.859930123113982,-0.017969131439182773,51.54936244173001,55.037233423508106,3.4878709817780944
1,900,0.8782393053809532,0.8735116702790953,-0.004727635101857919,48.44410901218892,55.28237759781843,6.838268585629514
1,1000,0.8778401359095147,0.860411723118289,-0.017428412791225756,56.931223408577736,55.20256801971973,-1.7286553888580087
1,1100,0.8791705182281323,0.8596637877209278,-0.01950673050720453,60.393948484318166,52.544810068425335,-7.849138415892831
1,1200,0.8787878493288148,0.8694385148701955,-0.009349334458619296,56.15323396801244,53.60848025375586,-2.5447537142565793
1,1300,0.8765177789811278,0.8655048559190641,-0.011012923062063695,61.88835741297926,54.741191357863514,-7.147166055115747
1,1400,0.8760484750366792,0.8641700996896304,-0.01187837534704872,63.604319444145844,50.79830024866825,-12.806019195477596
1,1500,0.876099433937075,0.8743274776773895,-0.0017719562596855143,60.09095789110374,58.11978488811047,-1.9711730029932681
1,1600,0.8755439062478694,0.8726435094740307,-0.002900396773838687,54.78033889367809,59.12351258547396,4.343173691795869
1,1700,0.8747859718840805,0.874502554203772,-0.00028341768030848424,61.54000175584038,65.41833300284121,3.8783312470008298
1,1800,0.8748831989314623,0.8749667849889804,8.358605751812576e-05,55.905086767977714,52.257403365303986,-3.647683402673728
1,1900,0.8745074814864173,0.8748750777184374,0.0003675962320200954,53.71366739642526,57.18404397247808,3.4703765760528213
1,2000,0.8748398833881676,0.8774151001167028,0.0025752167285351124,52.62239025899906,61.44997204974063,8.827581790741569
1,2100,0.8748295338315404,0.8770474648651595,0.002217931033619114,56.431861672823686,59.68237850244902,3.250516829625333
1,2200,0.8752162238999618,0.8716770265833905,-0.003539197316571263,63.73774045728922,56.3862738932696,-7.351466564019617
1,2300,0.8745121414055187,0.8710445020357909,-0.0034676393697278263,52.12041673219294,57.07241819991654,4.952001467723598
1,2400,0.8741277164877255,0.8742432825402194,0.00011556605249396501,52.91793069793058,60.721359375858874,7.803428677928295
1,2500,0.8745325568525404,0.8769583442063861,0.0024257873538456876,61.12783903681319,60.11284236096863,-1.0149966758445643
1,2600,0.8739648479310296,0.8806710805703984,0.00670623263936887,60.44143217159574,55.4094231641296,-5.032009007466144
1,2700,0.8738537410626259,0.8824840924614568,0.008630351398830838,64.2003155746483,54.02333593565001,-10.17697963899829
1,2800,0.8736149049760664,0.8818284803728339,0.00821357539676748,52.60941326289299,53.00541811319717,0.3960048503041804
1,2900,0.8735043062724118,0.8826394466032816,0.009135140330869818,56.61968018009717,56.00587480723372,-0.6138053728634532
1,3000,0.8733766069557579,0.8793930996385595,0.0060164926828015775,53.07086171321254,55.23538707669756,2.1645253634850263
1,3100,0.873633374786178,0.8805721663590473,0.006938791572869363,61.54136525910024,53.77842265096933,-7.762942608130906
1,3200,0.8738201550815671,0.884229395256098,0.010409240174530932,64.73355272083752,57.46355710813765,-7.269995612699873
1,3300,0.8738988995694487,0.8847314877266731,0.010832588157224432,59.78643538977144,53.40628555900182,-6.380149830769618
1,3400,0.8741195194552212,0.8812158190678037,0.007096299612582513,55.54068453049616,54.93769016097565,-0.6029943695205091
1,3500,0.8741102391527179,0.8766909806523404,0.0025807414996225075,54.233700377179005,52.67399561524877,-1.5597047619302344
1,3600,0.8740049605037117,0.8760224816455555,0.0020175211418438366,55.620709910297,55.64299766024027,0.022287749943266988
1,3700,0.8736804837146623,0.8729177302739362,-0.0007627534407261827,56.652293871062334,54.67762492380798,-1.9746689472543508
1,3800,0.8736987174306106,0.868084893159357,-0.005613824271253565,58.570090004024436,53.209137634787005,-5.360952369237431
1,3900,0.8737793591098414,0.8711371202504519,-0.002642238859389523,63.20318709124224,57.05764488186644,-6.1455422093758045
1,4000,0.8733727418862681,0.877519743989118,0.004147002102849906,55.52288318998915,62.693478169314744,7.1705949793255925
1,4100,0.8730854968073793,0.880932294121223,0.007846797313843634,57.76716897274875,60.448560393567995,2.6813914208192458
1,4200,0.8731828595029324,0.8838044750354076,0.010621615532475204,57.40684150932616,60.545841922860454,3.1390004135342906
1,4300,0.8728614792342444,0.8812804184838198,0.008418939249575375,56.46102481601914,58.60180718473228,2.1407823687131398
1,4400,0.8728319630308191,0.8823351931151774,0.009503230084358272,55.85092194957532,57.189747913137985,1.3388259635626625
1,4500,0.8731151873225114,0.8812051875837184,0.008090000261206987,58.08194010284832,57.725247144590526,-0.35669295825779557
1,4600,0.8730534721950842,0.8779405938484596,0.004887121653375348,57.4655269632816,57.740445511352,0.27491854807040284
1,4700,0.8731658940273798,0.8789288435677358,0.005762949540356055,55.95393001895985,60.018753130910746,4.0648231119508935
1,4800,0.8735389314682984,0.8798797383088476,0.0063408068405491624,60.63774753405873,61.02721725101907,0.3894697169603347
1,4900,0.8734043193622801,0.8817730918405677,0.0083687724782876,54.70784512063982,60.74672753153483,6.038882410895013
1,5000,0.8734266079479037,0.8809380523844744,0.007511444436570702,58.83446249841021,59.58507379806885,0.7506112996586367
1,5100,0.8737469445591343,0.8829043253658705,0.009157380806736226,59.14790621031981,58.40833715691893,-0.7395690534008779
1,5200,0.8734808427695068,0.8848809978422474,0.011400155072740614,60.23416867807329,59.65157677697155,-0.5825919011017362
1,5300,0.8734849570413186,0.8844146518180528,0.010929694776734222,55.90162482784491,59.13148324513402,3.2298584172891083
1,5400,0.8733838049872608,0.8857062491190194,0.012322444131758648,50.598453175366004,56.22597783842964,5.627524663063639
1,5500,0.873461304457477,0.882519444913512,0.009058140456034924,54.14437908683642,51.28394233629594,-2.8604367505404866
1,5600,0.8732876124162229,0.8786619293286194,0.005374316912396537,55.58728857157275,48.988886283765474,-6.598402287807275
1,5700,0.8733038772361638,0.8773755148204726,0.00407163758430884,59.31478430014716,58.22044039614362,-1.0943439040035372
1,5800,0.8733859549727863,0.8794655245060616,0.006079569533275375,51.86402196696039,56.505101393785374,4.641079426824987
1,5900,0.8736042856024709,0.879556977596963,0.00595269199449211,54.99139934157025,53.26108579667249,-1.7303135448977613
1,6000,0.8732635213606919,0.8803914012053762,0.007127879844684326,60.51126548082137,56.644075584715075,-3.8671898961062965
1,6100,0.8733883099062019,0.8809342262718352,0.007545916365633287,57.58623726409429,55.382505894107894,-2.203731369986393
1,6200,0.873399063231386,0.8806883285946007,0.007289265363214614,61.581406583172665,54.44528429253628,-7.136122290636386
1,6300,0.8733251145717293,0.8803373959632479,0.007012281391518549,56.24815478554026,54.33092812234837,-1.9172266631918902
1,6400,0.8731946005231249,0.8782079705462962,0.00501337002317126,61.43128599910477,60.17933301606947,-1.2519529830353022
1,6500,0.8732116008481032,0.8768025395260552,0.003590938677952016,58.685985012426414,54.30380281795061,-4.382182194475803
1,6600,0.8732078380412862,0.8785692564909305,0.0053614184496443285,59.00483259556015,58.12317181518701,-0.8816607803731458
1,6700,0.8730958192317279,0.8774831213513732,0.004387302119645331,50.570751410331276,59.63158007425908,9.0608286639278
1,6800,0.8731466018744362,0.8764332351757004,0.003286633301264219,56.1260588143056,54.23927105538568,-1.8867877589199225
1,6900,0.8729352831003112,0.8763015157796654,0.0033662326793542086,63.251152530245086,56.00032471983294,-7.250827810412147
1,7000,0.8727279065060339,0.8757534444707098,0.0030255379646758618,60.523705632842486,56.564738743031945,-3.95896688981054
1,7100,0.8725497704666096,0.875669810760346,0.003120040293736359,57.289317511052666,56.26222476924345,-1.0270927418092128
1,7200,0.8722869853289944,0.8740978957050156,0.001810910376021213,58.000614891535605,57.81366445162371,-0.18695043991189664
1,7300,0.8723380386923649,0.8731518452800189,0.0008138065876539535,60.060106715909924,53.10384559392441,-6.956261121985513
1,7400,0.8724042743325088,0.8727621248185313,0.00035785048602254843,58.330342154910404,54.48447839958108,-3.845863755329326
1,7500,0.8723514871105901,0.8726957831590744,0.00034429604848429385,62.46368421357207,54.53032051780841,-7.93336369576366
1,7600,0.8726728800208607,0.8729934244253732,0.00032054440451245725,56.84221896351208,58.09463835821164,1.252419394699558
1,7700,0.8725813147441098,0.8737256314833693,0.001144316739259521,55.51262047547393,55.504147965206194,-0.008472510267736766
1,7800,0.8725278581257652,0.8738282001256343,0.00130034199986917,54.846839661468806,64.85998901255569,10.01314935108688
1,7900,0.8726172075248665,0.8732837475845618,0.000666540059695353,54.595275967854406,54.72441381965041,0.12913785179600268
1,8000,0.8727644283670785,0.8748804845956307,0.0021160562285522655,56.7106995423337,55.489580574327945,-1.2211189680057544
1,8100,0.8726904391677565,0.8750357380906659,0.0023452989229094667,59.102796309874186,55.555423134941854,-3.547373174932332
1,8200,0.8729770848064788,0.8763317997282539,0.0033547149217750816,56.75629641580073,63.71713499953244,6.960838583731707
1,8300,0.872841649847791,0.8757167650875364,0.002875115239745374,51.947503939050286,55.357146807755306,3.4096428687050206
1,8400,0.8728218314805005,0.8737998341804084,0.0009780026999078872,58.32886780704146,61.892945702113806,3.5640778950723444
1,8500,0.872802291034088,0.8731078690188198,0.0003055779847317419,59.079459589723506,52.026234834963276,-7.05322475476023
1,8600,0.8728490316405234,0.8734619675653214,0.0006129359247979416,60.7703660948032,62.188636990041076,1.4182708952378746
1,8700,0.8727254246086624,0.874439890866114,0.0017144662574515301,50.46077473274135,59.186595032037204,8.725820299295854
1,8800,0.8728247653585848,0.8756345448234614,0.002809779464876594,59.0581389834557,62.943425398332174,3.885286414876475
1,8900,0.8729466247708979,0.8757173474668211,0.0027707226959231557,61.28413419769822,57.47137805727756,-3.8127561404206602
1,9000,0.8726367400391897,0.8752697686193264,0.002633028580136698,59.55965103088651,57.552715076046375,-2.006935954840138
1,9100,0.8725413390488117,0.8739742421585807,0.001432903109768957,61.44069887962655,58.25253921743986,-3.188159662186692
1,9200,0.872520066959266,0.8742070623740662,0.0016869954148002186,63.62919178783666,58.26561861612496,-5.3635731717117
1,9300,0.8725467262462997,0.8735696146184154,0.0010228883721157267,51.50179886234644,56.79250395251117,5.290705090164728
1,9400,0.8726485270424984,0.8718573994852699,-0.0007911275572285437,58.73199492625909,64.3571844270485,5.6251895007894035
1,9500,0.8724812994854778,0.8709329404950105,-0.0015483589904673467,52.98418666251676,63.66951368688673,10.685327024369968
1,9600,0.872467777325945,0.8710115825659541,-0.0014561947599909253,53.59891722171325,55.979875392905726,2.380958171192475
1,9700,0.8725974312768748,0.870752426661404,-0.00184500461547088,62.59024605045597,59.12860133899508,-3.4616447114608846
1,9800,0.8725304611452326,0.8708408128227615,-0.0016896483224710934,56.32716734687993,53.260427067929314,-3.0667402789506184
1,9900,0.8725190139139037,0.8723054150609344,-0.00021359885296934333,58.77446280086886,52.72414333546531,-6.050319465403554
1,10000,0.8725437999534146,0.8727957551107789,0.0002519551573643142,60.0429739139606,56.930399133219744,-3.1125747807408572
