acceptance_count,beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,k,ll,method,miVar,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarpaired
1000,1.0,0.012094914016570306,1,datasets_sb01.npz,0.8696629235302603,0.8693639903624513,0.8696629235302576,2,0.4067532793844717,unconstrained_1tok,0.055780231841727576,0.060522616032115395,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3411148174369848,0.9983045755996214,0.9991550239572623,0.6583058659907497,0.6571897581626365,1,2.0899999071843922e-05,0.08800370013341308,0.1695474000298418,0.2575511001632549,0.2588417000006302,0.2579885001614457,5.651580000994727e-06,0.000370699999621138,2.3200002033263445e-05,0.00019370000518392771,0.25906060000124853,4.579999949783087e-05,1.332572567676049,0.0436732229111407,0.04841560710152852
1000,1.0,0.01724244260946762,1,datasets_sb01.npz,1.0559066575745994,1.0601093806732602,1.055906657574602,2,0.5153193502055993,unconstrained_1tok,0.07607107374231202,0.08371724001507315,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.33435336439021296,0.9992188919714199,0.9997168959493471,0.6653852653540739,0.6648655275812069,2,1.32000059238635e-05,0.08886320014426019,0.17670550004550023,0.2655687001897604,0.26661089999834076,0.26577630019164644,5.8901833348500076e-06,0.00016099999629659578,1.1800002539530396e-05,6.260000373004004e-05,0.26668639999843435,3.3399999665562063e-05,1.5964939649435996,0.05881138869023494,0.06645755496299606
1000,1.0,0.014751242281334297,1,datasets_sb01.npz,1.4438487722992281,1.4519374297976544,1.443848772299225,2,0.9477254437946848,unconstrained_1tok,0.06407183389380129,0.0647601240237667,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3269980228987791,0.9991730964320439,0.9996911574779169,0.6727313574930518,0.6721750735332648,3,1.2999997125007212e-05,0.08652420005819295,0.1778585999418283,0.26438280000002123,0.26542549999430776,0.26460160000715405,5.9286199980609425e-06,0.0001728000061120838,1.5899997379165143e-05,6.53000024612993e-05,0.2655075000002398,3.300000389572233e-05,1.9399721008037716,0.04930584037018566,0.049994130500151064
1000,1.0,0.01766884228016294,1,datasets_sb01.npz,1.0081826585825058,1.0058414202509869,1.0081826585825018,2,0.491287228745263,unconstrained_1tok,0.06954937666249167,0.06763815428287864,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.38269710926879513,0.9993897833528339,0.9997481694196713,0.6170692199945332,0.6166926740840387,4,1.200000406242907e-05,0.126621499985049,0.2040426999083138,0.3306641998933628,0.33188560000417056,0.330866099895502,6.801423330277127e-06,0.00015439999697264284,1.2399999832268804e-05,7.020000339252874e-05,0.33196920000045793,3.550000110408291e-05,1.5250780884197486,0.05186286554004856,0.04995164316043555
1000,1.0,0.015039518520014014,1,datasets_sb01.npz,0.9868013322122199,0.9847994183143387,0.9868013322122147,2,0.5161210057043905,unconstrained_1tok,0.05766867184545942,0.055782030401770516,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.35956916080211615,0.9992735702840384,0.9997505989139432,0.6401694475919038,0.6397044094819223,5,1.2500000593718141e-05,0.10087719995499356,0.17946919998212252,0.2803463999371161,0.28140410000196425,0.28055019993917085,5.982306666070751e-06,0.00015859999984968454,9.999996109399945e-06,5.9300000430084765e-05,0.2814742999980808,3.270000161137432e-05,1.4574816587200492,0.0426141138069254,0.04072747236323649
1000,1.0,0.017118535337079403,1,datasets_sb01.npz,0.9457202549916888,0.9461577600106228,0.9457202549916869,2,0.4044803182489164,unconstrained_1tok,0.07625485972649942,0.07405930885621467,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.36163572802223265,0.9992843398128552,0.9997632143784477,0.6381052783335328,0.6376486117906226,6,1.2399999832268804e-05,0.10212470006081276,0.18006980001518968,0.28219450007600244,0.28331160000379896,0.2823966000796645,6.002326667172989e-06,0.0001588000013725832,1.1200005246791989e-05,5.5000004067551345e-05,0.28337870000541443,3.090000245720148e-05,1.486960191734461,0.05911920585408295,0.05692365498379819
1000,1.0,0.01974838494503098,1,datasets_sb01.npz,1.3478334195983035,1.3465732301136846,1.347833419598303,2,0.7956444195694907,unconstrained_1tok,0.07937127544586113,0.0803696402264098,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3420204886045376,0.9992693667566174,0.9997539595948276,0.6577294371440086,0.6572488781520798,7,1.2299999070819467e-05,0.09268679995875573,0.17811300001631025,0.270799799975066,0.2722460000004503,0.27099779997661244,5.937100000543675e-06,0.00015690000145696104,1.1600001016631722e-05,5.439999949885532e-05,0.2723130000013043,2.8800001018680632e-05,1.9000224196271163,0.05960314211588512,0.06060150689643379
1000,1.0,0.013387195830020666,1,datasets_sb01.npz,0.9639905209442632,0.9654840738563026,0.9639905209442593,2,0.4723396496173431,unconstrained_1tok,0.06292185008239269,0.07188570458028963,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.34940384611394065,0.9990194374222315,0.9997207028428075,0.6502532052674501,0.6496155913082908,8,1.550000160932541e-05,0.09588839988282416,0.17827679999027168,0.27416519987309584,0.2752570999946329,0.2744342998776119,5.942559999675723e-06,0.00022460000036517158,1.1000003723893315e-05,6.500000017695129e-05,0.2753339999981108,2.9000002541579306e-05,1.4556413922711833,0.049521267056542,0.05848512155443895
1000,1.0,0.019169135789555484,1,datasets_sb01.npz,1.2137425156684636,1.2135078726683832,1.2137425156684636,2,0.6663616024826198,unconstrained_1tok,0.0779950708351125,0.0800842005076688,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3641024975888465,0.9993004221356331,0.9997764449371289,0.6356426060436232,0.6351979245467866,9,1.170000177808106e-05,0.1009692999869003,0.1761467999240267,0.277116099910927,0.27816900000470923,0.2773100999183953,5.8715599974675566e-06,0.00014630000077886507,8.500006515532732e-06,5.319999763742089e-05,0.2782311999981175,3.60000049113296e-05,1.7611234288543074,0.05880676590976747,0.06089589558232377
1000,1.0,0.021888008589507346,1,datasets_sb01.npz,1.273706029159258,1.2722640632554136,1.2737060291592566,2,0.7272838313128621,unconstrained_1tok,0.07772209972388737,0.07115164179108784,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3579926028320081,0.9992195840182488,0.9997410926035957,0.641727795814028,0.6412269811862407,10,1.340000017080456e-05,0.09674410001753131,0.17328550006641308,0.2700296000839444,0.2710692000036943,0.27024050008913036,5.776183335547103e-06,0.00016560000221943483,7.90000194683671e-06,6.180000491440296e-05,0.27113939999981085,3.190000279573724e-05,1.8201282270056538,0.05581220312579052,0.04924174519299099
1000,1.0,0.01634042188423962,1,datasets_sb01.npz,1.1030869452946963,1.0991033180745093,1.103086945294694,2,0.583643571006962,unconstrained_1tok,0.07023672925120453,0.06865859206562339,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3486730615278086,0.9992625374332815,0.9997650752567714,0.6510696153751399,0.6505894759054729,11,1.1600001016631722e-05,0.09172340001532575,0.17114680005033733,0.2628702000656631,0.263852299998689,0.2630642000658554,5.704893335011245e-06,0.00015359999815700576,7.399998139590025e-06,5.400000372901559e-05,0.2639142999978503,2.8800001018680632e-05,1.6225303195824305,0.05387996694508067,0.05230182975949953
1000,1.0,0.01287058775780089,1,datasets_sb01.npz,1.136832278514702,1.1365997819361024,1.1368322785147034,2,0.6588895535824268,unconstrained_1tok,0.05946200757905258,0.059468339059778344,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3306810486004655,0.9992673609593833,0.9997619959467849,0.6690765039268539,0.6685863123589177,12,1.1000003723893315e-05,0.08544170006643981,0.1727500000706641,0.2581917001371039,0.25917759999720147,0.25838100014516385,5.758333335688804e-06,0.00014870000450173393,8.000002708286047e-06,5.329999839887023e-05,0.2592393000013544,2.9599999834317714e-05,1.6147750034469772,0.04657854923349389,0.04658488071421965
1000,1.0,0.018224439815393203,1,datasets_sb01.npz,1.1050793393372143,1.107038017591066,1.1050793393372065,2,0.5616229028814406,unconstrained_1tok,0.07688070031372563,0.07815274171991138,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3304306741814366,0.9992471543813926,0.9997589719694452,0.6693203751118035,0.6688164801999559,13,1.1800002539530396e-05,0.08580670012452174,0.17367920002288884,0.2594859001474106,0.2604877999983728,0.2596814001517487,5.789306667429628e-06,0.00015189999976428226,7.800001185387373e-06,5.450000026030466e-05,0.2605505999963498,3.18000020342879e-05,1.648535775792988,0.058638036058517036,0.05991007746470278
1000,1.0,0.018202601882167328,1,datasets_sb01.npz,0.7179299365447429,0.7207638335930066,0.71792993654474,2,0.18439084790687144,unconstrained_1tok,0.07410036419838881,0.07414574101610141,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3309872047136886,0.9992548970616166,0.9997685371857107,0.668765991853549,0.668267692347928,14,1.920000067912042e-05,0.08751070002472261,0.17668530000082683,0.26419600002554944,0.2652079999970738,0.26439300002675736,5.889510000027561e-06,0.00014699999883305281,8.09999619377777e-06,5.280000186758116e-05,0.2652693999989424,3.0800001695752144e-05,1.2514690251826144,0.05587955971433932,0.05592493653205192
1000,1.0,0.01303992949600187,1,datasets_sb01.npz,1.3480440895604173,1.3497345981358193,1.3480440895604153,2,0.8644553366692441,unconstrained_1tok,0.06087517751011042,0.06734229105544184,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3250694783123676,0.9992475252860792,0.9997574468581327,0.6746857309260766,0.6741780469737116,15,1.1199997970834374e-05,0.08268490004411433,0.17148439993616194,0.25416929998027626,0.25513990000035847,0.2543606999752228,5.716146664538731e-06,0.00014769999688724056,9.10000380827114e-06,5.2299998060334474e-05,0.25520179999875836,3.2500000088475645e-05,1.8316328424515906,0.04782220808461255,0.054289321629943973
1000,1.0,0.019540529062633087,1,datasets_sb01.npz,0.8756937736589332,0.8768250869801387,0.8756937736589303,2,0.3462187453422093,unconstrained_1tok,0.07297579279753111,0.07172876452375568,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3481757661932308,0.9991974630581593,0.999729018564743,0.6515445854640196,0.6510216968649284,16,1.1500000255182385e-05,0.09284260014101164,0.17359780017432058,0.2664404003153322,0.26747350000368897,0.26665440032229526,5.78659333914402e-06,0.00017080000543501228,8.09999619377777e-06,6.399999983841553e-05,0.26754600000276696,3.170000127283856e-05,1.4051688019756572,0.053415723205835396,0.052168694932059965
1000,1.0,0.012014366485388171,1,datasets_sb01.npz,1.0417915034211318,1.0457321466090779,1.0417915034211302,2,0.5628170574447249,unconstrained_1tok,0.05971900247251301,0.06887197821364202,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3923577814765413,0.9993103251059237,0.9997827627977551,0.6073714324577276,0.6069525436293823,17,1.1799995263572782e-05,0.11378050003986573,0.17601119991741143,0.28979169995727716,0.29086300000199117,0.28999169995222474,5.867039997247047e-06,0.00015469999925699085,9.699993825051934e-06,5.299999611452222e-05,0.290926199995738,3.35000004270114e-05,1.5207659493975387,0.047692621620639454,0.05684559736176846
1000,1.0,0.014217524924297776,1,datasets_sb01.npz,1.3085022661123598,1.307307175218297,1.3085022661123626,2,0.799039461554425,unconstrained_1tok,0.06756360610892245,0.07208213056585709,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.35890070613059105,0.9991996408327308,0.9997211199116693,0.6408118143122189,0.6402989347021397,18,1.2299999070819467e-05,0.09273420005047228,0.16544299993984168,0.25817719999031397,0.25917889999982435,0.25838399999338435,5.514766664661389e-06,0.0001647000026423484,7.899994670879096e-06,6.38999990769662e-05,0.25925119999737944,2.9800001357216388e-05,1.8179650706702946,0.05333186365970038,0.05785038811663502
1000,1.0,0.014614200514379276,1,datasets_sb01.npz,1.351046681329481,1.3511575233966016,1.351046681329484,2,0.876957448230065,unconstrained_1tok,0.05850702856642867,0.05890799127907106,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.37531344539775313,0.9993247365861395,0.9997803648219695,0.6244329479125208,0.6240112911883864,19,1.1800002539530396e-05,0.10610279987304239,0.17641079998429632,0.2825135998573387,0.28358989999833284,0.2827044998630299,5.880359999476544e-06,0.00014540000120177865,8.09999619377777e-06,5.360000068321824e-05,0.28365219999977853,3.3700001949910074e-05,1.825135914428897,0.043878213851535015,0.0442791765641774
1000,1.0,0.015586755488650423,1,datasets_sb01.npz,1.0872544680210725,1.0868386744163487,1.0872544680210732,2,0.5991150607402969,unconstrained_1tok,0.06202626013651266,0.06366425150545127,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.385009358139089,0.9994963829555814,0.9998171916641263,0.614796646886716,0.6144870248164924,20,1.2399999832268804e-05,0.1576375000659027,0.25159439989511156,0.4092318999610143,0.410737699996389,0.4094380999667919,8.38647999650372e-06,0.00016110000433400273,9.60000033956021e-06,6.489999941550195e-05,0.41081280000071274,3.270000161137432e-05,1.5753938753018482,0.04642391789237359,0.048061909261312194
1000,1.0,0.019336872854584283,1,datasets_sb01.npz,1.4963579588966562,1.488999693810264,1.4963579588966576,2,0.9501691387379418,unconstrained_1tok,0.07765572346583935,0.086557279886526,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3837567455193426,0.9993540913426977,0.9997728318640386,0.6159952224704056,0.615597345823355,21,1.2399999832268804e-05,0.12661010004376294,0.2030996000758023,0.32970970011956524,0.33095710000634426,0.3299228001123993,6.76998666919341e-06,0.00016150000010384247,9.700001101009548e-06,6.489999941550195e-05,0.33103229999687755,3.919999289792031e-05,2.0425467790553706,0.05829951373840048,0.06720107015908715
1000,1.0,0.013947097176581656,1,datasets_sb01.npz,1.2655845071810194,1.2621017468422229,1.26558450718102,2,0.7656321180514507,unconstrained_1tok,0.06506465831850371,0.07137450460743024,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.40340612324002706,0.9993281838936336,0.9997746719310262,0.5963226798345109,0.5959220606536066,22,1.309999788645655e-05,0.1276000999569078,0.18849420007609297,0.31609430003300076,0.31724360000225715,0.316306800035818,6.283140002536432e-06,0.00016709999908925965,8.299997716676444e-06,6.269999721553177e-05,0.3173151000009966,3.2300005841534585e-05,1.7655368963105882,0.05110361404474548,0.057413460333672006
1000,1.0,0.01528887153687031,1,datasets_sb01.npz,0.8187279996301051,0.81530099191339,0.8187279996301045,2,0.28950217597209527,unconstrained_1tok,0.07290711485487791,0.07862917810639902,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.357257491802338,0.9993133506892671,0.9997653113302227,0.6424970290290598,0.6420558588869291,23,1.1800002539530396e-05,0.10135270007594954,0.18214900006569223,0.2835017001416418,0.2845655999990413,0.2836965001479257,6.071633335523074e-06,0.00015240000357152894,7.899994670879096e-06,5.8400000852998346e-05,0.2846323999983724,3.060000017285347e-05,1.347953823288115,0.05760295444647073,0.06332501769799184
1000,1.0,0.015294936952799569,1,datasets_sb01.npz,0.7956953815409225,0.7960472688368949,0.7956953815409201,2,0.31680670319032234,unconstrained_1tok,0.05969761720438997,0.059890553246525674,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.35385467960462585,0.9992855955196963,0.999773074715631,0.6458923442996319,0.6454309159150704,24,1.2099997547920793e-05,0.09916189996147295,0.18087130001367768,0.28003319997515064,0.2810860000026878,0.2802333999716211,6.029043333789256e-06,0.0001604999997653067,7.599999662488699e-06,5.570000212173909e-05,0.2811498000010033,2.7599999157246202e-05,1.2745840598915226,0.0443873853146376,0.044580321356773304
1000,1.0,0.01689244499946847,1,datasets_sb01.npz,1.2924010306593037,1.2882627694655624,1.2924010306593063,2,0.7550043720664777,unconstrained_1tok,0.0751757519436522,0.07979906632426914,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.36781375887921436,0.9993759601332469,0.9997854019275838,0.6319565673461129,0.6315622012540325,25,1.3899996702093631e-05,0.10762580009759404,0.18480109996016836,0.2924269000577624,0.2935090999962995,0.292609500051185,6.160036665338945e-06,0.0001286999977310188,9.10000380827114e-06,5.339999916031957e-05,0.2935721000030753,3.9999998989515007e-05,1.8297976892521297,0.058266414499184266,0.06288972887980121
1000,1.0,0.01671144220445728,1,datasets_sb01.npz,0.9569029035702372,0.9582929047809499,0.9569029035702331,2,0.4381676366021646,unconstrained_1tok,0.07004536578416219,0.07224253173033574,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3573047168429161,0.9992479163877594,0.9997593066558753,0.6424263578806768,0.6419431995448434,26,1.3700002455152571e-05,0.10223860002588481,0.18368460007332033,0.28592320009920513,0.28701819999696454,0.28613840010075364,6.122820002444011e-06,0.00016950000281212851,8.700000762473792e-06,5.970000347588211e-05,0.2870872999992571,3.199999628122896e-05,1.4756381705383097,0.05331721213750045,0.055514378083674
1000,1.0,0.016994917990109177,1,datasets_sb01.npz,0.9857354260407226,0.9881146532567986,0.9857354260407183,2,0.45246419844036445,unconstrained_1tok,0.07402597932798652,0.08044696229130621,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3560669582293821,0.9992727011424773,0.9997670212863322,0.6436738861951421,0.6432057429130953,27,1.1800002539530396e-05,0.10021589992538793,0.18103179998433916,0.2812476999097271,0.2823634000014863,0.2814523999186349,6.034393332811305e-06,0.00015490000077988952,8.600000001024455e-06,5.660000169882551e-05,0.28242919999320293,3.800000558840111e-05,1.519006653641081,0.05701406641988723,0.06343504938320693
1000,1.0,0.016997173275726845,1,datasets_sb01.npz,0.9786888677312633,0.9745247973412824,0.9786888677312617,2,0.48666492093677927,unconstrained_1tok,0.06301737927405802,0.056361319947008603,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.40170996358005806,0.9993224568574947,0.9997862631104925,0.5980176760529432,0.5976124932774366,28,1.4199998986441642e-05,0.1301991001528222,0.19369350008491892,0.32389260023774114,0.3250966000050539,0.32411220023641363,6.456450002830631e-06,0.0001703000016277656,8.900002285372466e-06,6.0200000007171184e-05,0.32516609999584034,3.5099998058285564e-05,1.4707128145257473,0.04600320882505545,0.03934714949800604
1000,1.0,0.01696108661092192,1,datasets_sb01.npz,0.7755760048991411,0.7750708033227509,0.7755760048991435,2,0.23731646691992003,unconstrained_1tok,0.07541736001291248,0.08039296575882218,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.400232349585826,0.9993625435510856,0.9997896967752617,0.5995123569834225,0.5991301939652596,29,1.290000363951549e-05,0.13298039998335298,0.19906579994858475,0.33204619993193774,0.3332580999995116,0.3322579999367008,6.635526664952825e-06,0.00016529999993508682,8.200004231184721e-06,6.120000034570694e-05,0.33332819999486674,3.360000118846074e-05,1.3138355428783624,0.05843931231537964,0.06341491806128934
1000,1.0,0.015564846902341238,1,datasets_sb01.npz,0.9876372834624815,0.987685050334639,0.9876372834624846,2,0.48019808433530864,unconstrained_1tok,0.06702794169378035,0.06895527156798265,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3621692452189438,0.9991328187641582,0.9997431970671996,0.6375164158185533,0.6369635735452143,30,1.359999441774562e-05,0.10035880005307263,0.17650559997127857,0.2768644000243512,0.2779627999989316,0.27710470002057264,5.883519999042619e-06,0.0001919999995152466,9.699993825051934e-06,6.0999998822808266e-05,0.2780341999969096,3.470000228844583e-05,1.4950764825896543,0.05144752994453677,0.053374859818739066
1000,1.0,0.024491606621909977,1,datasets_sb01.npz,0.47560483684707766,0.47710317368870514,0.4756048368470766,2,-0.14493804928225285,unconstrained_1tok,0.10023778465371698,0.09804598053833224,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.3307170749320726,0.999217615007417,0.9997296547782191,0.6690239743925874,0.6685005400753444,31,1.2700002116616815e-05,0.08889460012869677,0.1796886000156519,0.26858320014434867,0.26958230000309413,0.26879350014496595,5.98962000052173e-06,0.000167199999850709,7.700000423938036e-06,6.459999713115394e-05,0.26965519999794196,3.0399998649954796e-05,1.0961477229764083,0.07572168642518509,0.07352988230980036
1000,1.0,0.014475968367094484,1,datasets_sb01.npz,1.0859523355162337,1.0892931468205576,1.085952335516236,2,0.5885444428715523,unconstrained_1tok,0.06440405343222172,0.06661159259055163,1000,30000,0.5,results\unconstrained_1tok_beta1_profile_3.csv,0.33071325141427466,0.999287545387094,0.9997668270587062,0.6690509624172627,0.6685742939728193,32,1.1500000255182385e-05,0.08963479987141909,0.1812068998842733,0.2708416997556924,0.271837799999048,0.27103479974903166,6.040229996142443e-06,0.00015199999324977398,8.199996955227107e-06,5.450000026030466e-05,0.2719012000015937,2.9599999834317714e-05,1.5833602281609152,0.049913609096760146,0.05212114825509005
